Date,Open,High,Low,Close,Adj Close,Volume
2010-12-20,19770.019531,20006.160156,19711.119141,19888.880859,19888.880859,11200
2010-12-21,19925.759766,20090.839844,19925.759766,20060.320313,20060.320313,14200
2010-12-22,20118.820313,20151.250000,19931.310547,20015.800781,20015.800781,12000
2010-12-23,20038.830078,20076.080078,19939.300781,19982.880859,19982.880859,7600
2010-12-24,19911.460938,20086.419922,19880.359375,20073.660156,20073.660156,16400
2010-12-27,20062.599609,20190.130859,20010.330078,20028.929688,20028.929688,9800
2010-12-28,20056.470703,20090.410156,19981.759766,20025.419922,20025.419922,10600
2010-12-29,20060.880859,20274.199219,20054.640625,20256.029297,20256.029297,10000
2010-12-30,20274.119141,20410.910156,20274.119141,20389.070313,20389.070313,10600
2010-12-31,20412.759766,20552.029297,20412.759766,20509.089844,20509.089844,12600
2011-01-03,20621.609375,20664.800781,20531.000000,20561.050781,20561.050781,12000
2011-01-04,20617.380859,20651.210938,20449.009766,20498.720703,20498.720703,15200
2011-01-05,20509.949219,20509.949219,20243.949219,20301.099609,20301.099609,14400
2011-01-06,20395.500000,20425.849609,20107.169922,20184.740234,20184.740234,16600
2011-01-07,20163.849609,20210.619141,19629.220703,19691.810547,19691.810547,15800
2011-01-10,19714.419922,19720.429688,19158.429688,19224.119141,19224.119141,17200
2011-01-11,19279.769531,19431.560547,19003.599609,19196.339844,19196.339844,20000
2011-01-12,19353.339844,19574.630859,19048.560547,19534.099609,19534.099609,19400
2011-01-13,19492.300781,19522.380859,19136.269531,19182.820313,19182.820313,16800
2011-01-14,19198.039063,19447.820313,18811.960938,18860.439453,18860.439453,15800
2011-01-17,18911.429688,19018.939453,18779.380859,18882.250000,18882.250000,17800
2011-01-18,18983.199219,19120.619141,18933.470703,19092.050781,19092.050781,14400
2011-01-19,19153.310547,19167.060547,18898.560547,18978.320313,18978.320313,16200
2011-01-20,18892.429688,19100.259766,18794.730469,19046.539063,19046.539063,12800
2011-01-21,19007.080078,19065.339844,18932.400391,19007.529297,19007.529297,11000
2011-01-24,19095.689453,19194.460938,18998.380859,19151.279297,19151.279297,11600
2011-01-25,19227.419922,19340.990234,18949.439453,18969.449219,18969.449219,13400
2011-01-27,19086.689453,19086.689453,18656.050781,18684.429688,18684.429688,13800
2011-01-28,18708.619141,18723.119141,18235.449219,18395.970703,18395.970703,18600
2011-01-31,18226.210938,18395.089844,18038.480469,18327.759766,18327.759766,19800
